position,title,address,phone,website,rating,reviews,latitude,longitude,type,types,open_state,hours,price,user_review,accessibility,parking,service_options,highlights,popular_for,offerings,dining_options,amenities,atmosphere,crowd,payments,place_id
11,Big Sky Casino Missoula,"2413 N Reserve St, Missoula, MT 59801",(406) 728-9695,,3.9,28,46.8876813,-114.04037299999999,Restaurant,Restaurant,Closed â‹… Opens 10â€¯AM,Closed â‹… Opens 10â€¯AM,$20â€“30,,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating","Free parking lot, Free street parking",Dine-in,Fast service,Dinner,"Alcohol, Beer, Coffee, Hard liquor, Wine","Lunch, Dinner",Restroom,Casual,Groups,"Credit cards, Debit cards",ChIJ09k_HUHOXVMR_VdZlkaCtio
12,Big Rig Casino,"8077 U.S. Highway 10 W, Missoula, MT 59808",(406) 721-8317,,4.2,5,46.947404,-114.1337722,Casino,Casino,Open 24 hours,Open 24 hours,,This is a pretty decent 24 hour casino.,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJ0Q_kJ2XNXVMRliSNFOdkJAY
13,One Eyed Jacks Inc,"2720 S Reserve St, Missoula, MT 59801",(406) 549-2183,,4.4,83,46.8455684,-114.03872009999999,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,"It a local place casino is not very big, The food is not Bad.","Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,Live performances,,,,,,,,ChIJM7c1hArSXVMRvPt3D8xRisE
14,Nickle Ante Casino,"1800 Bow St, Missoula, MT 59801",(406) 721-1797,,4.6,34,46.8540144,-114.00903459999999,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,The cheap food for registering w the players club is a plus.,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJC872EsHNXVMReQ9PMxT-blM
15,Silver Slipper Cardroom - Live Poker in Missoula,"4055 Brooks St, Missoula, MT 59804",(406) 333-1500,,4.9,29,46.8337408,-114.04932489999999,Casino,Casino,Open 24 hours,Open 24 hours,,It's a fun game and friendly dealers make a difference.,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJxeu77ufTXVMRITeMaG1DoS0
16,Silver Creek Casino,"3720 N Reserve St, Missoula, MT 59808",(406) 532-5318,,4.2,60,46.9044483,-114.0379492,Casino,Casino,Closed â‹… Opens 11â€¯AM,Closed â‹… Opens 11â€¯AM,,Great atmosphere...great selections on machines,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJe65nFVPOXVMRM2WuK0rfOw4
17,Jumbo Jackpot Casino,"749 Randles St, Missoula, MT 59802",,,4.1,37,46.8719507,-113.9454018,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,Winner winner Chicken dinner!,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJ6_jf4g7MXVMRE7lpW1G7Lbg
18,Nickel Ante,"1925 Sherwood St B, Missoula, MT 59808",(406) 721-2554,,4.3,41,46.8794902,-114.0192477,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,Great little casino very friendly staff and nice clean environment,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,,,,,,,,,,ChIJVaYGSGXOXVMRB44bGLvHvmA
19,Magic Diamond Casino,"3420 Mullan Rd, Missoula, MT 59808",(406) 721-5844,https://www.montanasbestcasinos.com/,3.9,91,46.8857256,-114.0405859,Casino,"Casino, Bar",Open 24 hours,Open 24 hours,,,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom","Free parking lot, Free street parking",Onsite services,,,,,,,,,ChIJ95hGQEDOXVMRMOGT38QdulI
20,Lucky Lil's Casino,"2701 N Reserve St, Missoula, MT 59808",(406) 540-5286,https://www.montanasbestcasinos.com/,4,120,46.8897458,-114.03984659999999,Casino,Casino,Opens soon â‹… 8â€¯AM,Opens soon â‹… 8â€¯AM,,,"Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom",,Onsite services,,,,,,,,Checks,ChIJOfEAtEbOXVMRgaRMyjlbc4o
